Genre,method,edit_distance_norm_mean,edit_distance_norm_median,edit_distance_norm_count,positional_accuracy_mean,positional_accuracy_median,positional_accuracy_count
Epistle,LLM,0.0,0.0,1,1.0,1.0,1
Guide,LLM,0.5657894736842105,0.5657894736842105,2,0.3666666666666667,0.3666666666666667,2
Guide,NLP,0.8710526315789473,0.8710526315789473,2,0.05555555555555555,0.05555555555555555,2
Journal,LLM,0.6223214285714286,0.6071428571428572,4,0.17261904761904762,0.16666666666666666,4
Journal,NLP,0.9080357142857143,0.9160714285714285,4,0.0625,0.0,4
Travelogue,LLM,0.6282125603864734,0.6,5,0.36,0.3333333333333333,5
Travelogue,NLP,0.8755032206119163,0.8760064412238326,4,0.0625,0.0,4
